"","INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","INSTURL","ADM_RATE","TUITIONFEE_IN","TUITIONFEE_OUT","OPEID","SAT_AVG","SATMTMID","SATVRMID","SATWRMID","PCT_WHITE","PCT_BLACK","PCT_ASIAN","PCT_HISPANIC"
"3491","Cosmetology Career Center LLC","Carrollton","TX","32.973328","-96.843526","NULL","NULL","NULL","NULL","https://paulmitchell.edu/dallas/","NULL","NULL","NULL",1248300,"NULL","NULL","NULL","NULL","75.8099975585937","8.84000015258789","5.28999996185302","16.2900009155273"
"3492","Dallas Baptist University","Dallas","TX","32.710017","-96.947006","22","NULL","NULL","NULL","https://www.dbu.edu","0.4311","26180","26180",356000,"1060","550","560","NULL","71.9300003051757","14.3000001907348","3.31999993324279","17.1100006103515"
"3493","Dallas Christian College","Dallas","TX","32.913698","-96.887124","19","17","19","NULL","www.dallas.edu","0.2267","17454","17454",694100,"886","463","424","NULL","74.9899978637695","11.5900001525878","3.65000009536743","16.1599998474121"
"3494","Dallas Institute of Funeral Service","Dallas","TX","32.771374","-96.683412","NULL","NULL","NULL","NULL","www.dallasinstitute.edu","NULL","11170","11170",1076100,"NULL","NULL","NULL","NULL","67.1500015258789","18.0699996948242","1.91999995708465","21.5499992370605"
"3495","Dallas Theological Seminary","Dallas","TX","32.7943","-96.779957","NULL","NULL","NULL","NULL","WWW.DTS.EDU","NULL","NULL","NULL",356200,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3496","University of Dallas","Irving","TX","32.846202","-96.921573","27","26","27","NULL","www.udallas.edu","0.8047","37230","37230",365100,"1184","575","590","NULL","78.3600006103515","8.69999980926513","3.99000000953674","15.0299997329711"
"3497","Del Mar College","Corpus Christi","TX","27.763623","-97.407627","NULL","NULL","NULL","NULL","www.delmar.edu","NULL","2546","4808",356300,"NULL","NULL","NULL","NULL","73.0599975585937","4.25","1.17999994754791","54.1399993896484"
"3498","East Texas Baptist University","Marshall","TX","32.557847","-94.374488","20","19","20","NULL","https://www.etbu.edu","0.5093","24700","24700",356400,"954","485","475","NULL","74.5400009155273","16.5599994659423","1.54999995231628","11.4700002670288"
"3499","Texas A&M University-Texarkana","Texarkana","TX","33.490482","-94.103617","21","20","20","NULL","www.tamut.edu","0.5599","6840","17886",3170300,"1016","540","520","NULL","73.3399963378906","21.1200008392334","0.40000000596046","6.55999994277954"
"3500","Texas A & M University-Commerce","Commerce","TX","33.243745","-95.908451","21","22","21","NULL","www.tamuc.edu/","0.4614","7750","19990",356500,"973","490","485","NULL","74.3000030517578","14.9499998092651","1.70000004768371","13.5299997329711"
"3501","Eastfield College","Mesquite","TX","32.815679","-96.65947","NULL","NULL","NULL","NULL","www.eastfieldcollege.edu/","NULL","1770","5220",851000,"NULL","NULL","NULL","NULL","61.1899986267089","21.1100006103515","2.64000010490417","24.3700008392334"
"3502","El Centro College","Dallas","TX","32.779817","-96.805361","NULL","NULL","NULL","NULL","www.elcentrocollege.edu","NULL","1770","5220",445300,"NULL","NULL","NULL","NULL","45.8499984741211","33.7099990844726","2.53999996185302","29.1399993896484"
"3503","El Paso Community College","El Paso","TX","31.773359","-106.373616","NULL","NULL","NULL","NULL","www.epcc.edu","NULL","2746","4522",1038700,"NULL","NULL","NULL","NULL","73.1399993896484","3.04999995231628","0.89999997615814","79.4499969482422"
"3504","Western Technical College","El Paso","TX","31.877799","-106.425891","NULL","NULL","NULL","NULL","www.westerntech.edu","NULL","NULL","NULL",2098301,"NULL","NULL","NULL","NULL","72.0199966430664","4.09999990463256","1.05999994277954","75.870002746582"
"3505","Western Technical College","El Paso","TX","31.675953","-106.319269","NULL","NULL","NULL","NULL","www.westerntech.edu","NULL","NULL","NULL",2098300,"NULL","NULL","NULL","NULL","72.0199966430664","4.09999990463256","1.05999994277954","75.870002746582"
"3506","Episcopal Theological Seminary of the Southwest","Austin","TX","30.293097","-97.73266","NULL","NULL","NULL","NULL","ssw.edu","NULL","NULL","NULL",356600,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3507","Exposito School of Hair Design","Amarillo","TX","35.183578","-101.881271","NULL","NULL","NULL","NULL","expositoschoolofhair.com","NULL","NULL","NULL",2267100,"NULL","NULL","NULL","NULL","80.5899963378906","3.81999993324279","0.95999997854232","23.3199996948242"
"3508","South University-The Art Institute of Dallas","Dallas","TX","32.871014","-96.76783","NULL","NULL","NULL","NULL","www.artinstitutes.edu/dallas/","NULL","17664","17664",1303912,"NULL","NULL","NULL","NULL","73.3000030517578","12.6099996566772","3.25999999046325","18.8199996948242"
"3509","Fort Worth Beauty School","Benbrook","TX","32.705515","-97.450193","NULL","NULL","NULL","NULL","www.fortworthbeautyschoolinc.com","NULL","NULL","NULL",2306700,"NULL","NULL","NULL","NULL","60.4300003051757","21.5400009155273","2.10999989509582","26.9200000762939"
"3510","Frank Phillips College","Borger","TX","35.657778","-101.406005","NULL","NULL","NULL","NULL","www.fpctx.edu","NULL","3052","4042",356800,"NULL","NULL","NULL","NULL","83.1900024414062","3.92000007629394","0.52999997138977","19.5499992370605"
"3511","Galveston College","Galveston","TX","29.284212","-94.80854","NULL","NULL","NULL","NULL","www.gc.edu","NULL","2050","4600",497200,"NULL","NULL","NULL","NULL","62.9300003051757","22.4099998474121","2.77999997138977","23.6200008392334"
"3512","Grayson College","Denison","TX","33.70574","-96.633891","NULL","NULL","NULL","NULL","grayson.edu","NULL","1956","3972",357000,"NULL","NULL","NULL","NULL","85.4199981689453","6.42000007629394","0.74000000953674","7.40000009536743"
"3513","Hallmark University","San Antonio","TX","29.538447","-98.568626","NULL","NULL","NULL","NULL","www.hallmarkuniversity.edu","NULL","NULL","NULL",1050900,"NULL","NULL","NULL","NULL","70.6299972534179","6.92999982833862","1.63999998569488","50.0099983215332"
"3514","Hardin-Simmons University","Abilene","TX","32.476434","-99.73564","22","21","22","NULL","www.hsutx.edu","0.8799","25830","25830",357100,"1019","525","505","NULL","82.370002746582","5.82999992370605","1.80999994277954","17.0100002288818"
"3515","Trinity Valley Community College","Athens","TX","32.195686","-95.858058","NULL","NULL","NULL","NULL","www.tvcc.edu","NULL","2460","4920",357200,"NULL","NULL","NULL","NULL","79.1399993896484","12.9300003051757","0.76999998092651","10.4600000381469"
"3516","Hill College","Hillsboro","TX","32.010928","-97.088332","NULL","NULL","NULL","NULL","www.hillcollege.edu","NULL","1995","2695",357300,"NULL","NULL","NULL","NULL","84.0999984741211","6.65999984741211","0.61000001430511","14.8900003433227"
"3517","Houston Baptist University","Houston","TX","29.693819","-95.515954","24","22","23","NULL","https://www.hbu.edu","0.3456","30800","30800",357600,"1057","520","520","NULL","59.7799987792968","19","8.28999996185302","22.9799995422363"
"3518","University of Houston-Clear Lake","Houston","TX","29.582523","-95.098129","22","20","22","NULL","www.uhcl.edu/home","0.6471","6502","18550",1171100,"1017","515","505","NULL","72.0800018310547","10.9300003051757","3.59999990463256","24.3799991607666"
"3519","Houston Community College","Houston","TX","29.737303","-95.376524","NULL","NULL","NULL","NULL","www.hccs.edu","NULL","1632","3756",1063300,"NULL","NULL","NULL","NULL","47.2799987792968","27.6200008392334","6.3600001335144","34.5400009155273"
"3520","University of Houston-Downtown","Houston","TX","29.7661","-95.359338","19","18","19","NULL","www.uhd.edu","0.8288","5978","15770",361200,"906","465","440","NULL","53.6899986267089","23.1000003814697","5.46999979019165","33.1899986267089"
"3521","University of Houston-Victoria","Victoria","TX","28.816438","-96.978193","NULL","NULL","NULL","NULL","www.uhv.edu","0.4809","7369","19609",1323100,"NULL","NULL","NULL","NULL","72.25","9.97000026702881","2.80999994277954","30.5100002288818"
"3522","University of Houston","Houston","TX","29.720393","-95.343537","26","24","26","NULL","www.uh.edu/","0.5854","9519","21711",365200,"1152","585","560","NULL","62.25","16.9799995422363","6.5","26.2999992370605"
"3523","Howard College","Big Spring","TX","32.252298","-101.450113","NULL","NULL","NULL","NULL","www.howardcollege.edu","NULL","2560","5420",357400,"NULL","NULL","NULL","NULL","78.0100021362304","5.38000011444091","0.80000001192092","33.3899993896484"
"3524","Howard Payne University","Brownwood","TX","31.716467","-98.985204","20","20","20","NULL","www.hputx.edu","0.8772","26630","26630",357500,"950","475","475","NULL","80.0699996948242","7.57000017166137","1.47000002861022","21.5100002288818"
"3525","Huston-Tillotson University","Austin","TX","30.264672","-97.721698","16","14","16","NULL","www.htu.edu","0.3648","14346","14346",357700,"787","405","400","NULL","56.2200012207031","23.6399993896484","2.85999989509582","30.4400005340576"
"3526","University of the Incarnate Word","San Antonio","TX","29.46708","-98.46583","19","18","18","NULL","www.uiw.edu","0.9187","28898","28898",357800,"893","450","445","NULL","72.4499969482422","6.78999996185302","1.90999996662139","46.7299995422363"
"3527","International Business College-El Paso","El Paso","TX","31.81416","-106.538152","NULL","NULL","NULL","NULL","www.ibcelpaso.edu","NULL","NULL","NULL",908200,"NULL","NULL","NULL","NULL","75.1299972534179","1.92999994754791","0.70999997854232","82.1999969482422"
"3528","Jacksonville College-Main Campus","Jacksonville","TX","31.966072","-95.281249","NULL","NULL","NULL","NULL","www.jacksonville-college.edu","NULL","7900","7900",357900,"NULL","NULL","NULL","NULL","71.9499969482422","17.4200000762939","0.69999998807907","14.9600000381469"
"3529","Jarvis Christian College","Hawkins","TX","32.587942","-95.181513","NULL","NULL","NULL","NULL","www.jarvis.edu","NULL","11720","11720",363700,"NULL","NULL","NULL","NULL","50.5900001525879","36.2999992370605","1.86000001430511","19.2199993133544"
"3530","KD Conservatory College of Film and Dramatic Arts","Dallas","TX","32.808104","-96.840687","NULL","NULL","NULL","NULL","www.KDSTUDIO.COM","0.8214","16625","16625",2318200,"NULL","NULL","NULL","NULL","64.1100006103515","21.0200004577636","2.89000010490417","19.2000007629394"
"3531","Kilgore College","Kilgore","TX","32.377821","-94.871468","NULL","NULL","NULL","NULL","https://www.kilgore.edu","NULL","1632","4560",358000,"NULL","NULL","NULL","NULL","74.0800018310547","18.8899993896484","0.64999997615814","9"
"3532","Lamar University","Beaumont","TX","30.042738","-94.072244","21","20","21","NULL","www.lamar.edu","0.7618","8146","17938",358100,"960","480","475","NULL","65.5699996948242","23.9699993133544","2.63000011444091","13.2200002670288"
"3533","Lamar State College-Orange","Orange","TX","30.0922","-93.732235","NULL","NULL","NULL","NULL","www.lsco.edu","NULL","4120","13920",2358200,"NULL","NULL","NULL","NULL","79.75","15.829999923706","1.0900000333786","4.46999979019165"
"3534","Lamar State College-Port Arthur","Port Arthur","TX","29.880903","-93.925514","NULL","NULL","NULL","NULL","www.lamarpa.edu","NULL","5698","17938",2348500,"NULL","NULL","NULL","NULL","57.2299995422363","30.6399993896484","3.98000001907348","13.0900001525878"
"3535","Laredo Beauty College Inc","Laredo","TX","27.523791","-99.480788","NULL","NULL","NULL","NULL","www.laredobeautycollege.net/","NULL","NULL","NULL",1229700,"NULL","NULL","NULL","NULL","81.8399963378906","0.43000000715255","0.33000001311302","94.3499984741211"
"3536","Laredo Community College","Laredo","TX","27.506477","-99.520772","NULL","NULL","NULL","NULL","www.laredo.edu","NULL","3780","6228",358200,"NULL","NULL","NULL","NULL","81.7799987792968","0.55000001192092","0.43999999761581","93.0999984741211"
"3537","Texas A & M International University","Laredo","TX","27.573504","-99.435225","19","18","19","NULL","www.tamiu.edu/","0.5298","7016","16946",965100,"911","470","450","NULL","81.0999984741211","0.87000000476837","0.56999999284744","90.7300033569336"
"3538","Lee College","Baytown","TX","29.731654","-94.976724","NULL","NULL","NULL","NULL","www.lee.edu","NULL","1672","3520",358300,"NULL","NULL","NULL","NULL","69.9000015258789","14.9600000381469","1.26999998092651","24.8700008392334"
"3539","LeTourneau University","Longview","TX","32.467658","-94.72726","25","25","25","NULL","www.letu.edu","0.4419","28480","28480",358400,"1150","580","575","NULL","72.120002746582","14.8199996948242","3.20000004768371","16.1700000762939"
"3540","Lincoln College of Technology-Grand Prairie","Grand Prairie","TX","32.701684","-97.056391","NULL","NULL","NULL","NULL","www.lincolnedu.com/campus/grand-prairie-tx","NULL","NULL","NULL",793804,"NULL","NULL","NULL","NULL","65.2300033569336","17.2800006866455","3.19000005722045","23.1800003051757"
"3541","Lubbock Hair Academy","Lubbock","TX","33.563687","-101.877928","NULL","NULL","NULL","NULL","www.lubbockhairacademy.edu","NULL","NULL","NULL",3520300,"NULL","NULL","NULL","NULL","70.1500015258789","10.5299997329711","1.12000000476837","29.9799995422363"
"3542","Lubbock Christian University","Lubbock","TX","33.575973","-101.934426","22","22","21","NULL","https://www.lcu.edu","0.9531","21166","21166",358600,"1034","510","535","NULL","78.8499984741211","5.32000017166137","1.36000001430511","25.6700000762939"
"3543","College of the Mainland","Texas City","TX","29.39581","-94.999602","NULL","NULL","NULL","NULL","www.com.edu","NULL","1773","3873",709600,"NULL","NULL","NULL","NULL","66.5999984741211","21.1100006103515","1.72000002861022","18.9699993133544"
"3544","University of Mary Hardin-Baylor","Belton","TX","31.066798","-97.463479","24","23","22","NULL","www.umhb.edu","0.788","26550","26550",358800,"1051","515","505","NULL","75.1800003051757","11.579999923706","2.30999994277954","17.1399993896484"
"3545","McLennan Community College","Waco","TX","31.58947","-97.171228","NULL","NULL","NULL","NULL","www.mclennan.edu","NULL","2760","4560",359000,"NULL","NULL","NULL","NULL","71.9199981689453","16.1000003814697","0.97000002861022","17.2000007629394"
"3546","McMurry University","Abilene","TX","32.429776","-99.748682","20","19","20","NULL","ww2.mcm.edu","0.4804","26275","26275",359100,"938","480","445","NULL","78.5999984741211","7.46000003814697","1.66999995708465","22.3600006103515"
"3547","Covenant School of Nursing and Allied Health","Lubbock","TX","33.5757","-101.937872","NULL","NULL","NULL","NULL","covenanthealth.org/cson","NULL","NULL","NULL",661200,"NULL","NULL","NULL","NULL","78.7200012207031","5.09999990463256","1.15999996662139","26.1700000762939"
"3548","Midland College","Midland","TX","32.029646","-102.106153","NULL","NULL","NULL","NULL","www.midland.edu","NULL","2580","5280",979700,"NULL","NULL","NULL","NULL","75.5100021362304","6.96000003814697","0.82999998331069","35.3899993896484"
"3549","Midwestern State University","Wichita Falls","TX","33.874809","-98.519386","21","20","21","NULL","www.mwsu.edu","0.7446","8620","10570",359200,"973","490","485","NULL","78.120002746582","10.3000001907348","2.33999991416931","13.6499996185302"
"3550","Mims Classic Beauty College","San Antonio","TX","29.495422","-98.508249","NULL","NULL","NULL","NULL","www.mimsclassic.com","NULL","NULL","NULL",849800,"NULL","NULL","NULL","NULL","73.3000030517578","4.94999980926513","1.48000001907348","50.0999984741211"
"3551","Wade College","Dallas","TX","32.80086","-96.819524","NULL","NULL","NULL","NULL","www.wadecollege.edu","NULL","13675","13675",1013000,"NULL","NULL","NULL","NULL","66.1900024414062","18.75","2.97000002861022","19.829999923706"
"3552","Southern Careers Institute-Austin","Austin","TX","30.226743","-97.784318","NULL","NULL","NULL","NULL","www.scitexas.edu","NULL","NULL","NULL",3035300,"NULL","NULL","NULL","NULL","72.3199996948242","4.48999977111816","0.97000002861022","69.1699981689453"
"3553","Mountain View College","Dallas","TX","32.726573","-96.903798","NULL","NULL","NULL","NULL","www.dcccd.edu","NULL","1770","5220",850300,"NULL","NULL","NULL","NULL","44.4700012207031","32.5999984741211","2.14000010490417","34.2200012207031"
"3554","Altierus Career College-San Antonio","San Antonio","TX","29.488572","-98.540709","NULL","NULL","NULL","NULL","https://www.altierus.org/campus/san-antonio","NULL","NULL","NULL",2261300,"NULL","NULL","NULL","NULL","57.25","19.1399993896484","2.67000007629394","43.0499992370605"
"3555","Tint School of Makeup and Cosmetology-Irving","Irving","TX","32.829511","-96.983082","NULL","NULL","NULL","NULL","www.tintschoolofmakeupandcosmetology.com","NULL","NULL","NULL",1293200,"NULL","NULL","NULL","NULL","61.2999992370605","15.3100004196167","4.92999982833862","32.5499992370605"
"3556","Navarro College","Corsicana","TX","32.076066","-96.498738","NULL","NULL","NULL","NULL","www.navarrocollege.edu","NULL","2400","5400",359300,"NULL","NULL","NULL","NULL","70.6600036621093","17.5699996948242","0.93999999761581","17.079999923706"
"3557","Neilson Beauty College","Dallas","TX","32.742919","-96.829149","NULL","NULL","NULL","NULL","www.neilsonbeautycollege.com","NULL","NULL","NULL",1300300,"NULL","NULL","NULL","NULL","46.2200012207031","24.2900009155273","1.37000000476837","46.4900016784668"
"3558","Lone Star College System","The Woodlands","TX","30.18737","-95.488103","NULL","NULL","NULL","NULL","www.lonestar.edu","NULL","1552","3592",1114500,"NULL","NULL","NULL","NULL","68.6800003051757","15.2299995422363","3.84999990463256","22.2000007629394"
"3559","North Lake College","Irving","TX","32.871878","-96.967106","NULL","NULL","NULL","NULL","www.northlakecollege.edu","NULL","1770","5220",2077400,"NULL","NULL","NULL","NULL","65.2099990844726","13.6899995803833","6.63000011444091","24.9599990844726"
"3560","University of North Texas","Denton","TX","33.211178","-97.148422","24","23","23","NULL","www.unt.edu","0.7179","10153","19945",359400,"1090","545","545","NULL","75.2699966430664","11.0699996948242","3.51999998092651","17.0699996948242"
"3561","Northeast Texas Community College","Mount Pleasant","TX","33.104937","-94.881862","NULL","NULL","NULL","NULL","www.ntcc.edu","NULL","2682","5990",2315400,"NULL","NULL","NULL","NULL","76.2900009155273","13.5600004196167","0.34000000357627","13.7600002288818"
"3562","Oblate School of Theology","San Antonio","TX","29.505488","-98.503348","NULL","NULL","NULL","NULL","www.ost.edu","NULL","NULL","NULL",359500,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3563","Ocean Corporation","Houston","TX","29.665485","-95.570272","NULL","NULL","NULL","NULL","www.oceancorp.com","NULL","NULL","NULL",2600200,"NULL","NULL","NULL","NULL","70.9800033569336","13.5","4.67999982833862","19"
"3564","Odessa College","Odessa","TX","31.866812","-102.383477","NULL","NULL","NULL","NULL","www.odessa.edu","NULL","2808","5232",359600,"NULL","NULL","NULL","NULL","74.870002746582","4.38999986648559","0.64999997615814","43.6699981689453"
"3565","Ogle School Hair Skin Nails-Arlington","Arlington","TX","32.720725","-97.140834","NULL","NULL","NULL","NULL","ogleschool.edu","NULL","NULL","NULL",1301600,"NULL","NULL","NULL","NULL","68.75","15.75","3.89000010490417","18.0200004577636"
"3566","Ogle School Hair Skin Nails-Ft Worth","Fort Worth","TX","32.681742","-97.417657","NULL","NULL","NULL","NULL","www.ogleschool.edu","NULL","NULL","NULL",2230500,"NULL","NULL","NULL","NULL","70.620002746582","12.869999885559","2.54999995231628","22.8600006103515"
"3567","Our Lady of the Lake University","San Antonio","TX","29.425611","-98.54395","20","18","19","NULL","www.ollusa.edu","0.5473","27160","27160",359800,"929","465","455","NULL","67.6100006103515","7.71000003814697","1.80999994277954","56.5400009155273"
"3568","The University of Texas Rio Grande Valley","Edinburg","TX","26.306759","-98.173567","20","19","20","NULL","www.utrgv.edu","0.6393","7438","17230",359900,"950","480","470","NULL","78.3399963378906","0.91000002622604","0.68000000715255","86"
"3569","Texas Southmost College","Brownsville","TX","25.899628","-97.492241","NULL","NULL","NULL","NULL","www.tsc.edu","NULL","3198","5598",3064600,"NULL","NULL","NULL","NULL","80.6100006103515","0.68999999761581","0.54000002145767","87.0599975585937"
"3570","Panola College","Carthage","TX","32.156214","-94.356355","NULL","NULL","NULL","NULL","www.panola.edu","NULL","1824","3816",360000,"NULL","NULL","NULL","NULL","71.4300003051757","23.0100002288818","0.43999999761581","6.76999998092651"
"3571","Paris Junior College","Paris","TX","33.650929","-95.529177","NULL","NULL","NULL","NULL","www.parisjc.edu/","NULL","2250","5100",360100,"NULL","NULL","NULL","NULL","80.0800018310547","13.3100004196167","0.47999998927116","6.73000001907348"
"3572","Paul Quinn College","Dallas","TX","32.677195","-96.755864","19","15","20","NULL","www.pqc.edu","0.319","8318","8318",360200,"844","415","395","NULL","43.1399993896484","41.3499984741211","2.14000010490417","21.9899997711181"
"3573","Prairie View A & M University","Prairie View","TX","30.092425","-95.989475","17","16","17","NULL","www.pvamu.edu","0.8548","10059","23378",363000,"838","425","420","NULL","49.0800018310547","34.2400016784668","3.72000002861023","21.7199993133544"
"3574","Ranger College","Ranger","TX","32.456773","-98.685215","NULL","NULL","NULL","NULL","www.rangercollege.edu","NULL","2590","4990",360300,"NULL","NULL","NULL","NULL","77.6600036621093","10.0500001907348","1.17999994754791","19.1700000762939"
"3575","Aviation Institute of Maintenance-Houston","Houston","TX","29.65852","-95.28262","NULL","NULL","NULL","NULL","www.aviationmaintenance.edu/campuses/houston-tx/index.html","NULL","16757","16757",4146700,"NULL","NULL","NULL","NULL","50.1300010681152","15.2200002670288","7.09999990463257","43.0299987792968"
"3576","Rice University","Houston","TX","29.717897","-95.402035","34","34","33","NULL","www.rice.edu","0.1527","43918","43918",360400,"1490","760","730","NULL","74.7600021362304","10.7200002670288","5.42000007629394","17.0699996948242"
"3577","Richland College","Dallas","TX","32.922141","-96.730505","NULL","NULL","NULL","NULL","www.richlandcollege.edu","NULL","1770","5220",850400,"NULL","NULL","NULL","NULL","62.1599998474121","18.1399993896484","6.38999986648559","21.4599990844726"
"3578","Brightwood College-McAllen","McAllen","TX","26.186109","-98.207067","NULL","NULL","NULL","NULL","www.brightwood.edu","NULL","NULL","NULL",946607,"NULL","NULL","NULL","NULL","72.8099975585937","3.9300000667572","0.87000000476837","70.6699981689453"
"3579","Saint Edward's University","Austin","TX","30.229844","-97.75763","25","25","24","NULL","https://www.stedwards.edu","0.739","41178","41178",362100,"1114","545","560","NULL","75.4899978637695","7.05999994277954","3.35999989509582","29.25"
"3580","St Philip's College","San Antonio","TX","29.41456","-98.452987","NULL","NULL","NULL","NULL","www.alamo.edu/spc/","NULL","2188","11274",360800,"NULL","NULL","NULL","NULL","63.9300003051757","11.8100004196167","1.40999996662139","52.9900016784668"
"3581","University of St Thomas","Houston","TX","29.736438","-95.393102","24","24","23","NULL","www.stthom.edu","0.7739","31520","31520",365400,"1085","545","538","NULL","66.0500030517578","13.7600002288818","5.80000019073486","26.6900005340576"
"3582","Sam Houston State University","Huntsville","TX","30.714738","-95.546205","22","20","21","NULL","www.shsu.edu/","0.7195","7762","17554",360600,"986","485","485","NULL","73.1600036621093","13.7299995422363","2.78999996185302","18.9799995422363"
"3583","San Antonio College","San Antonio","TX","29.44634","-98.497647","NULL","NULL","NULL","NULL","www.alamo.edu/sac","NULL","2188","11274",916300,"NULL","NULL","NULL","NULL","70.4100036621093","6.44000005722046","1.48000001907348","54.6599998474121"
"3584","San Jacinto Community College","Pasadena","TX","29.660335","-95.115941","NULL","NULL","NULL","NULL","www.sanjac.edu/","NULL","1500","4140",360900,"NULL","NULL","NULL","NULL","63.9199981689453","14.6599998474121","3.26999998092651","33.9500007629394"
"3585","Schreiner University","Kerrville","TX","30.031458","-99.130586","22","20","21","NULL","www.schreiner.edu","0.9078","25750","25750",361000,"998","500","490","NULL","84.4700012207031","3.53999996185302","1.23000001907348","24.2999992370605"
"3586","Seguin Beauty School-Seguin","Seguin","TX","29.569142","-97.96436","NULL","NULL","NULL","NULL","www.seguinbeautyschool.net","NULL","NULL","NULL",2521800,"NULL","NULL","NULL","NULL","78.7699966430664","4.63999986648559","0.72000002861022","33.2799987792968"
"3587","St. Mary's University","San Antonio","TX","29.453244","-98.562778","22","21","22","NULL","www.stmarytx.edu/","0.7766","28200","28200",362300,"1036","525","515","NULL","72.6399993896484","5.69999980926513","1.76999998092651","54.4199981689453"
"3588","South Plains College","Levelland","TX","33.575904","-102.365075","NULL","NULL","NULL","NULL","www.southplainscollege.edu/","NULL","2240","3680",361100,"NULL","NULL","NULL","NULL","75.1900024414062","6.30000019073486","0.99000000953674","30.5900001525878"
"3589","South Texas Barber College Inc","Corpus Christi","TX","27.754868","-97.417156","NULL","NULL","NULL","NULL","www.southtexasbarbercollege.net","NULL","NULL","NULL",3922300,"NULL","NULL","NULL","NULL","69.9499969482422","3.98000001907348","0.85000002384185","65.0899963378906"
"3590","South Texas College of Law Houston","Houston","TX","29.753171","-95.36455","NULL","NULL","NULL","NULL","www.stcl.edu","NULL","NULL","NULL",497700,"NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"3591","South Texas Vocational Technical Institute-Weslaco","Weslaco","TX","26.17325","-97.967153","NULL","NULL","NULL","NULL","www.stvt.edu","NULL","NULL","NULL",2548800,"NULL","NULL","NULL","NULL","80.0999984741211","0.37999999523162","0.37000000476837","89.5100021362304"
"3592","South Texas Vocational Technical Institute-McAllen","McAllen","TX","26.233652","-98.241774","NULL","NULL","NULL","NULL","www.stvt.edu","NULL","NULL","NULL",2306809,"NULL","NULL","NULL","NULL","78.25","0.51999998092651","0.72000002861022","88.1100006103515"
"3593","Southern Methodist University","Dallas","TX","32.845254","-96.784855","30","30","29","NULL","www.smu.edu","0.4892","50358","50358",361300,"1330","665","650","NULL","76.0800018310547","9.72999954223632","4.78999996185302","16.1700000762939"
"3594","Southwest School of Business and Technical Careers-San Antonio","San Antonio","TX","29.357965","-98.49583","NULL","NULL","NULL","NULL","www.sws.edu","NULL","NULL","NULL",2218300,"NULL","NULL","NULL","NULL","63.3600006103515","3.16000008583068","0.41999998688697","78.8899993896484"
"3595","Southwest Texas Junior College","Uvalde","TX","29.219676","-99.741245","NULL","NULL","NULL","NULL","www.swtjc.net","NULL","2116","4468",361400,"NULL","NULL","NULL","NULL","73.2900009155273","1.01999998092651","0.43999999761581","81.0999984741211"
"3596","Southwestern Assemblies of God University","Waxahachie","TX","32.40443","-96.853492","22","22","22","NULL","www.sagu.edu","0.2347","19560","19560",361600,"980","460","455","NULL","76.6900024414062","10.5200004577636","1.92999994754791","17.2900009155273"
"3597","Southwestern University","Georgetown","TX","30.634341","-97.665738","26","26","25","NULL","www.southwestern.edu","0.4503","39060","39060",362000,"1165","575","590","NULL","79.6500015258789","6.92999982833862","3.36999988555908","20.6399993896484"
"3598","Stephen F Austin State University","Nacogdoches","TX","31.621056","-94.64908","22","21","21","NULL","www.sfasu.edu","0.6245","7716","17508",362400,"993","495","485","NULL","73.4199981689453","15.0200004577636","2.44000005722045","15.0500001907348"
"3599","Texas State University","San Marcos","TX","29.888885","-97.943029","23","22","22","NULL","www.txstate.edu","0.7113","9605","21029",361500,"1033","515","510","NULL","76.0699996948242","7.19999980926513","2.65000009536743","28.6200008392334"
"3600","Southwestern Adventist University","Keene","TX","32.397617","-97.32702","20","22","20","NULL","www.swau.edu/","0.4997","20276","20276",361900,"929","450","465","NULL","73.6100006103515","11.1599998474121","3.16000008583068","20.4899997711181"
"3601","Southwestern Christian College","Terrell","TX","32.735508","-96.285649","NULL","NULL","NULL","NULL","www.swcc.edu","NULL","8136","8136",361800,"NULL","NULL","NULL","NULL","55.8199996948242","30.8500003814697","2.94000005722045","15.2700004577636"
"3602","Sul Ross State University","Alpine","TX","30.363139","-103.651469","18","17","18","NULL","www.sulross.edu","0.9222","6419","16211",362500,"855","425","415","NULL","75.8199996948242","3.4300000667572","0.75999999046325","61.7299995422363"
"3603","Tarleton State University","Stephenville","TX","32.214988","-98.214866","21","6","20","NULL","www.tarleton.edu","0.5039","7140","16728",363100,"959","480","470","NULL","80.4899978637695","8.4399995803833","1.42999994754791","15.1000003814697"
"3604","Tarrant County College District","Fort Worth","TX","32.747501","-97.327948","NULL","NULL","NULL","NULL","www.tccd.edu","NULL","1416","6120",362600,"NULL","NULL","NULL","NULL","70.9499969482422","13.7299995422363","3.61999988555908","18.6299991607666"
"3605","Temple College","Temple","TX","31.070715","-97.350471","NULL","NULL","NULL","NULL","www.templejc.edu","NULL","2136","5736",362700,"NULL","NULL","NULL","NULL","74.5800018310547","12.1599998474121","1.25999999046325","18.7199993133544"
