"","INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","INSTURL","ADM_RATE","TUITIONFEE_IN","TUITIONFEE_OUT","OPEID","SAT_AVG","SATMTMID","SATVRMID","SATWRMID","PCT_WHITE","PCT_BLACK","PCT_ASIAN","PCT_HISPANIC"
"1920","Culver-Stockton College","Canton","MO","40.128993","-91.529374","21","20","20","NULL","www.culver.edu","0.5812","25415","25415",246000,"966","470","455","NULL","89.5500030517578","5.3600001335144","1.30999994277954","4.59000015258789"
"1921","Drury University","Springfield","MO","37.219681","-93.286192","25","24","25","NULL","www.drury.edu","0.6997","25905","25905",246100,"1142","565","550","NULL","93.1500015258789","2.47000002861022","0.94999998807907","2.25"
"1922","East Central College","Union","MO","38.431845","-90.97809","NULL","NULL","NULL","NULL","www.eastcentral.edu","NULL","2376","4584",886200,"NULL","NULL","NULL","NULL","96.5100021362304","1.23000001907348","0.56999999284744","1.14999997615814"
"1923","Eden Theological Seminary","Webster Groves","MO","38.592307","-90.345605","NULL","NULL","NULL","NULL","www.eden.edu","NULL","NULL","NULL",246200,"NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"1924","Elaine Steven Beauty College","Saint Louis","MO","38.761399","-90.278574","NULL","NULL","NULL","NULL","www.elainestevenbeautycollege.com","NULL","NULL","NULL",2564700,"NULL","NULL","NULL","NULL","48.4000015258789","48.8400001525879","0.64999997615814","1.25999999046325"
"1925","Pinnacle Career Institute-South Kansas City","Kansas City","MO","38.938335","-94.529762","NULL","NULL","NULL","NULL","PCITRAINING.EDU","NULL","NULL","NULL",1040500,"NULL","NULL","NULL","NULL","74.9899978637695","18.7700004577636","1.16999995708465","5.44000005722045"
"1926","Evangel University","Springfield","MO","37.220956","-93.262614","23","22","22","NULL","www.evangel.edu","0.7536","22081","22081",246300,"1063","490","530","NULL","88.7300033569336","4.57999992370605","1.61000001430511","4.94999980926513"
"1927","Fontbonne University","Saint Louis","MO","38.642697","-90.315712","23","23","21","NULL","https://www.fontbonne.edu","0.8952","24610","24610",246400,"1050","NULL","NULL","NULL","71.5299987792968","24.8199996948242","1.50999999046325","1.49000000953674"
"1928","Four Rivers Career Center","Washington","MO","38.547707","-91.020914","NULL","NULL","NULL","NULL","frcc-sdow-mo.schoolloop.com/","NULL","15441","15441",2056100,"NULL","NULL","NULL","NULL","97.2900009155273","1.19000005722045","0.30000001192092","0.70999997854232"
"1929","Ozarks Technical Community College","Springfield","MO","37.216479","-93.279985","NULL","NULL","NULL","NULL","www.otc.edu","NULL","2952","5352",3083000,"NULL","NULL","NULL","NULL","94.5699996948242","1.75","0.75","1.86000001430511"
"1930","Hannibal-LaGrange University","Hannibal","MO","39.729015","-91.39094","NULL","NULL","NULL","NULL","www.hlg.edu","0.6164","21810","21810",908900,"NULL","NULL","NULL","NULL","92.9100036621093","4.5","0.47999998927116","1.52999997138977"
"1931","Harris-Stowe State University","Saint Louis","MO","38.631744","-90.224288","NULL","NULL","NULL","NULL","www.hssu.edu","NULL","5220","9853",246600,"NULL","NULL","NULL","NULL","37.5299987792968","58.6500015258789","1.24000000953674","1.82000005245208"
"1932","Hickey College","Saint Louis","MO","38.709638","-90.407513","NULL","NULL","NULL","NULL","www.hickeycollege.edu","0.7568","13930","13930",1027900,"NULL","NULL","NULL","NULL","81.6699981689453","15.5200004577636","0.93000000715255","1.32000005245208"
"1933","House of Heavilin Beauty College-Kansas City","Kansas City","MO","39.022905","-94.574262","NULL","NULL","NULL","NULL","kc-hair.com","NULL","NULL","NULL",960700,"NULL","NULL","NULL","NULL","32.5299987792968","60.9799995422363","1.02999997138977","5.63000011444091"
"1934","Independence College of Cosmetology","Independence","MO","39.079093","-94.426462","NULL","NULL","NULL","NULL","www.hair-skin-nails.com","NULL","NULL","NULL",959000,"NULL","NULL","NULL","NULL","84.0899963378906","10.6899995803833","0.95999997854232","3.98000001907348"
"1935","Jefferson College","Hillsboro","MO","38.259889","-90.558954","NULL","NULL","NULL","NULL","www.jeffco.edu","NULL","2400","4728",246800,"NULL","NULL","NULL","NULL","95.9000015258789","2.11999988555908","0.41999998688697","1.12000000476837"
"1936","Paul Mitchell the School-Missouri Columbia","Columbia","MO","38.969222","-92.310417","NULL","NULL","NULL","NULL","missouricolumbia.paulmitchell.edu/","NULL","NULL","NULL",3077200,"NULL","NULL","NULL","NULL","88.5500030517578","6.90000009536743","1.5","2.24000000953674"
"1937","Barnes-Jewish College Goldfarb School of Nursing","Saint Louis","MO","38.637165","-90.258772","NULL","NULL","NULL","NULL","www.barnesjewishcollege.edu/","NULL","NULL","NULL",638900,"NULL","NULL","NULL","NULL","78.0100021362304","17.9400005340576","1.60000002384185","2"
"1938","Kansas City Art Institute","Kansas City","MO","39.046353","-94.583594","23","24","21","NULL","www.kcai.edu","0.6504","36450","36450",247300,"1072","515","570","NULL","86.7900009155273","6.30999994277954","2.11999988555908","6.30000019073486"
"1939","Kenrick Glennon Seminary","Saint Louis","MO","38.584608","-90.324024","NULL","NULL","NULL","NULL","www.kenrick.edu","1","20750","20750",247600,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1940","A T Still University of Health Sciences","Kirksville","MO","40.193648","-92.589183","NULL","NULL","NULL","NULL","WWW.ATSU.EDU","NULL","NULL","NULL",247700,"NULL","NULL","NULL","NULL","83.4199981689453","5.51000022888183","3.39000010490417","9.39000034332275"
"1941","Lake Career and Technical Center","Camdenton","MO","38.005502","-92.732943","NULL","NULL","NULL","NULL","camdentonschools.schoolwires.net/lctc","NULL","4500","4500",2263400,"NULL","NULL","NULL","NULL","97.5999984741211","0.20000000298023","0.15999999642372","0.9200000166893"
"1942","Lex La-Ray Technical Center","Lexington","MO","39.173683","-93.865563","NULL","NULL","NULL","NULL","www.lexlaray.com","0.6471","NULL","NULL",2142200,"NULL","NULL","NULL","NULL","95.4899978637695","2.31999993324279","0.28000000119209","1.22000002861022"
"1943","Lincoln University","Jefferson City","MO","38.564431","-92.166724","NULL","NULL","NULL","NULL","www.lincolnu.edu/","NULL","7042","13432",247900,"NULL","NULL","NULL","NULL","63.7900009155273","30.4200000762939","1.75","3.82999992370605"
"1944","Lindenwood University","Saint Charles","MO","38.785425","-90.501286","23","22","22","NULL","www.lindenwood.edu","0.5469","16332","16332",248000,"1045","525","500","NULL","84.2300033569336","11.5699996948242","1.35000002384185","3.60999989509582"
"1945","State Technical College of Missouri","Linn","MO","38.467699","-91.814259","NULL","NULL","NULL","NULL","https://www.statetechmo.edu","NULL","5873","10665",471100,"NULL","NULL","NULL","NULL","93.4899978637695","3.86999988555908","0.60000002384185","1.27999997138977"
"1946","Logan University","Chesterfield","MO","38.63133","-90.542333","NULL","NULL","NULL","NULL","www.logan.edu","NULL","NULL","NULL",470300,"NULL","NULL","NULL","NULL","88.1999969482422","6.98999977111816","1.65999996662139","3.06999993324279"
"1947","Metropolitan Community College-Kansas City","Kansas City","MO","39.068668","-94.58966","NULL","NULL","NULL","NULL","www.mcckc.edu","NULL","2880","7050",248400,"NULL","NULL","NULL","NULL","74.8300018310547","18.8600006103515","1.30999994277954","5.1100001335144"
"1948","Maryville University of Saint Louis","Saint Louis","MO","38.644774","-90.505998","25","24","24","NULL","www.maryville.edu","0.928","27958","27958",248200,"1114","530","495","NULL","89.0199966430664","7.57999992370605","1.44000005722045","1.60000002384185"
"1949","Merrell University of Beauty Arts and Science","Jefferson City","MO","38.571057","-92.198801","NULL","NULL","NULL","NULL","merrelluniversity.edu","NULL","NULL","NULL",2520800,"NULL","NULL","NULL","NULL","89.9800033569336","6.88000011444091","0.93999999761581","1.36000001430511"
"1950","Metro Business College-Cape Girardeau","Cape Girardeau","MO","37.333512","-89.573215","NULL","NULL","NULL","NULL","www.metrobusinesscollege.edu","NULL","11375","11375",2180200,"NULL","NULL","NULL","NULL","91.7099990844726","5.38000011444091","0.75999999046325","1.21000003814697"
"1951","Midwest Institute","Fenton","MO","38.541611","-90.462497","NULL","NULL","NULL","NULL","midwestinstitute.com","NULL","NULL","NULL",2121100,"NULL","NULL","NULL","NULL","69.9400024414062","26.7600002288818","1.19000005722045","1.45000004768371"
"1952","Midwestern Baptist Theological Seminary","Kansas City","MO","39.185691","-94.573185","22","24","21","NULL","https://www.mbts.edu","0.9911","6925","6925",248500,"1038","510","575","NULL","91.1999969482422","3.86999988555908","1.25","3.65000009536743"
"1953","Mineral Area College","Park Hills","MO","37.845199","-90.481847","NULL","NULL","NULL","NULL","www.mineralarea.edu","NULL","3280","5770",248600,"NULL","NULL","NULL","NULL","95.9499969482422","2.02999997138977","0.31999999284744","0.85000002384185"
"1954","Missouri Baptist University","Saint Louis","MO","38.641526","-90.462586","21","20","20","NULL","www.mobap.edu","0.512","24924","24924",754000,"968","465","475","NULL","86.8600006103515","9.35999965667724","1.11000001430511","2.73000001907348"
"1955","National Academy of Beauty Arts-Farmington","Farmington","MO","37.787881","-90.434241","NULL","NULL","NULL","NULL","www.naba.edu","NULL","NULL","NULL",2295700,"NULL","NULL","NULL","NULL","96.8799972534179","1.29999995231628","0.31000000238418","0.74000000953674"
"1956","Missouri School of Barbering","Florissant","MO","38.799094","-90.324567","NULL","NULL","NULL","NULL","americancollegeofhair.com","NULL","NULL","NULL",2154900,"NULL","NULL","NULL","NULL","55.25","41.7599983215332","0.81000000238418","1.21000003814697"
"1957","Missouri Southern State University","Joplin","MO","37.095155","-94.461689","21","21","20","NULL","www.mssu.edu","0.9434","5523","10568",248800,"990","NULL","NULL","NULL","91.1800003051757","2.1800000667572","0.68999999761581","3.23000001907348"
"1958","Missouri Valley College","Marshall","MO","39.108522","-93.190654","NULL","NULL","NULL","NULL","www.moval.edu","0.4649","19750","19750",248900,"NULL","NULL","NULL","NULL","82","9.89000034332275","2.4300000667572","5.90000009536743"
"1959","Missouri Western State University","Saint Joseph","MO","39.7575","-94.785643","NULL","NULL","NULL","NULL","https://www.missouriwestern.edu","NULL","7330","13070",249000,"NULL","NULL","NULL","NULL","86.1600036621093","10.4899997711181","0.63999998569488","2.47000002861022"
"1960","University of Missouri-Columbia","Columbia","MO","38.94531","-92.328843","26","27","25","NULL","missouri.edu/","0.747","9518","25892",251600,"1183","585","570","NULL","87.4499969482422","8.10999965667724","1.78999996185302","2.30999994277954"
